kód obce;název obce;voliči v seznamu;vydané obálky;platné hlasy;-;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
535826;Adamov;0;0;0;-;126;0;2;0;0;40;12;1;91;3;3;0;0;1;0;36;1;13;4;36;23;43;37;0;0
536156;Bečice;0;0;0;-;17;0;0;0;0;3;10;0;3;0;1;0;0;0;0;5;0;1;0;9;5;8;1;0;0
544272;Borek;0;0;0;-;275;0;3;1;0;62;47;1;123;14;5;0;0;5;0;58;2;26;15;66;65;93;52;0;1
544281;Borovany;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535681;Borovnice;0;0;0;-;16;0;0;0;0;0;2;0;9;0;0;0;0;0;0;9;2;6;1;14;6;7;6;0;0
544299;Boršov nad Vltavou;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535401;Bošilec;0;0;0;-;32;0;0;0;1;12;4;0;17;1;1;0;1;0;2;4;1;2;0;11;3;17;12;0;1
551490;Branišov;0;0;0;-;27;0;0;0;3;6;13;0;20;5;0;0;0;0;0;13;0;2;0;10;7;17;8;0;0
536059;Břehov;0;0;0;-;23;0;0;0;0;2;4;0;18;5;1;0;0;0;1;7;0;1;0;9;4;7;3;1;0
535541;Čakov;0;0;0;-;24;0;0;1;0;22;6;0;26;5;1;0;2;0;1;9;0;7;4;13;11;21;4;0;0
544329;Čejkovice;0;0;0;-;69;0;0;0;0;17;7;0;10;0;0;0;0;0;0;7;2;4;0;16;8;15;9;0;0
598976;Čenkov u Bechyně;0;0;0;-;7;0;0;0;0;1;6;0;7;0;0;0;0;0;0;0;0;0;0;6;3;5;5;0;0
544256;České Budějovice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
551503;Čížkrajice;0;0;0;-;50;0;0;0;1;13;2;0;8;1;1;0;0;0;0;6;0;1;2;10;4;7;11;0;0
535249;Dasný;0;0;0;-;40;0;0;0;0;15;13;1;34;3;0;0;0;0;0;12;1;2;0;19;14;14;15;0;0
544361;Dívčice;0;0;0;-;72;0;0;2;1;43;21;0;28;1;0;0;1;0;0;22;3;3;2;27;9;27;20;0;1
535206;Dobrá Voda u Českých Budějovic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
536199;Dobšice;0;0;0;-;11;0;0;0;0;5;0;0;4;0;0;1;0;1;0;7;0;0;0;5;1;8;1;0;0
544388;Dolní Bukovsko;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535664;Doubravice;0;0;0;-;52;1;0;0;0;12;12;0;13;1;1;0;0;0;0;24;1;6;5;6;10;22;9;0;0
544400;Doudleby;0;0;0;-;55;0;0;0;0;12;7;2;48;3;5;0;1;0;1;14;0;8;3;24;20;23;17;1;0
535958;Drahotěšice;0;0;0;-;53;0;0;1;0;16;8;0;6;1;0;0;0;0;0;5;0;3;8;18;17;20;8;0;0
549371;Dražíč;0;0;0;-;35;0;0;0;0;22;9;0;10;2;2;0;0;1;0;3;0;3;2;13;8;6;6;0;0
544426;Dříteň;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535788;Dubičné;0;0;0;-;56;0;0;2;0;19;15;0;39;2;2;0;0;1;1;9;1;3;3;43;7;15;14;0;2
544442;Dubné;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
544451;Dynín;0;0;0;-;56;0;0;0;0;11;8;2;6;2;0;0;0;0;0;4;1;2;0;9;7;22;4;1;1
535575;Habří;0;0;0;-;24;0;0;0;0;0;2;0;19;2;0;0;0;0;1;3;0;0;0;6;3;7;3;0;0
536075;Hartmanice;0;0;0;-;14;0;0;0;1;10;14;0;8;2;0;1;0;0;0;6;0;0;0;3;5;4;11;0;1
598593;Heřmaň;0;0;0;-;23;0;0;1;0;10;5;0;13;0;2;0;0;0;0;3;0;1;1;16;9;16;4;0;0
535851;Hlavatce;0;0;0;-;16;0;0;0;0;2;10;0;12;4;0;0;0;1;0;4;0;1;1;1;10;6;8;0;0
598607;Hlincová Hora;0;0;0;-;49;0;0;1;0;7;6;0;47;4;1;0;0;1;0;16;1;2;4;15;24;30;16;0;0
544485;Hluboká nad Vltavou;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
544493;Homole;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
536105;Horní Kněžeklady;0;0;0;-;14;0;0;0;0;4;11;0;9;1;0;0;0;0;0;5;0;1;0;5;3;3;4;0;0
544515;Horní Stropnice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
544523;Hosín;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535524;Hosty;0;0;0;-;13;0;0;0;0;11;7;0;8;0;0;0;0;0;0;4;0;2;0;11;1;10;5;0;0
535460;Hradce;0;0;0;-;18;0;0;0;0;1;8;0;4;1;0;0;0;1;0;3;0;0;0;0;4;9;6;0;0
544540;Hranice;0;0;0;-;19;0;0;0;0;12;9;0;0;0;1;0;0;0;0;3;4;1;1;13;5;10;4;0;0
544558;Hrdějovice;0;0;0;-;276;0;0;2;0;52;61;0;137;12;3;3;0;4;1;53;1;27;19;81;53;108;27;1;1
535753;Hůry;0;0;0;-;84;0;0;0;2;18;15;2;43;12;0;0;0;1;0;25;1;5;11;27;12;28;10;0;0
535613;Hvozdec;0;0;0;-;35;0;0;0;0;6;1;0;11;0;4;0;0;0;2;11;0;0;1;6;3;3;2;0;0
535907;Chotýčany;0;0;0;-;31;0;0;0;0;5;19;0;6;1;3;0;0;1;0;11;3;3;4;13;7;16;8;0;0
544591;Chrášťany;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
544612;Jankov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
544639;Jílovice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535761;Jivno;0;0;0;-;49;0;0;0;0;11;4;0;27;1;1;0;1;0;0;17;0;4;0;28;12;21;4;0;0
535982;Kamenná;0;0;0;-;59;1;1;4;2;33;0;0;4;2;0;2;0;2;0;2;1;0;2;12;1;12;9;1;0
544663;Kamenný Újezd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535877;Komařice;0;0;0;-;45;0;0;0;1;22;12;0;23;1;1;0;1;0;0;9;1;0;2;16;6;20;2;0;1
529729;Kvítkovice;0;0;0;-;25;0;0;0;0;3;1;0;8;0;0;0;0;0;0;2;0;0;0;7;4;6;2;0;0
544736;Ledenice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
544744;Libín;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535800;Libníč;0;0;0;-;58;0;0;0;0;12;12;0;43;2;2;0;0;2;0;22;0;14;4;33;20;16;27;0;1
544761;Lipí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
544779;Lišov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
544795;Litvínovice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
544809;Ločenice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535940;Mazelov;0;0;0;-;32;0;0;0;0;19;7;0;3;4;4;0;2;1;1;4;0;0;0;16;2;3;7;1;0
544817;Mladošovice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
598615;Modrá Hůrka;0;0;0;-;10;0;0;0;0;4;11;0;2;0;0;0;0;0;0;1;0;2;0;3;1;5;0;0;0
535842;Mokrý Lom;0;0;0;-;19;0;0;0;0;7;1;2;9;0;0;0;0;0;1;4;0;1;2;5;5;8;3;0;0
535281;Mydlovary;0;0;0;-;54;1;0;0;1;10;11;0;12;1;4;0;0;0;0;10;1;0;9;13;6;15;8;0;0
535371;Nákří;0;0;0;-;22;0;0;0;3;14;10;1;11;1;4;1;0;0;0;2;0;2;1;13;1;12;14;0;0
544825;Nedabyle;0;0;0;-;59;0;0;0;0;21;23;0;26;1;2;0;0;0;1;14;0;5;5;15;8;32;7;0;0
535435;Neplachov;0;0;0;-;64;0;1;0;0;12;11;0;27;2;1;1;0;1;2;11;0;3;1;19;9;9;20;0;0
535648;Nová Ves;0;0;0;-;125;0;0;2;0;32;16;2;54;4;2;4;0;2;1;31;2;6;7;62;18;23;41;0;1
544868;Nové Hrady;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
544884;Olešnice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
544892;Olešník;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535231;Ostrolovský Újezd;0;0;0;-;33;0;0;0;0;9;6;0;18;0;0;0;0;0;2;7;0;1;1;5;5;9;7;0;0
535699;Petříkov;0;0;0;-;40;0;1;0;1;18;6;0;30;1;0;0;0;0;0;8;0;4;2;19;11;24;8;0;2
535991;Pištín;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535176;Planá;0;0;0;-;33;0;0;0;0;15;2;1;21;4;2;0;0;2;0;9;0;3;3;12;4;13;9;0;0
535346;Plav;0;0;0;-;63;2;0;0;0;18;9;0;33;1;2;1;0;0;0;11;1;7;7;34;19;42;12;1;0
544965;Radošovice;0;0;0;-;28;0;0;0;1;6;9;0;8;0;1;0;0;0;0;8;0;0;2;6;2;9;8;0;0
544973;Roudné;0;0;0;-;183;1;0;1;4;25;26;3;123;5;2;1;1;7;0;42;4;21;6;54;51;60;46;1;0
544981;Rudolfov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
545007;Římov;0;0;0;-;95;0;1;0;0;44;30;3;102;4;5;0;1;0;0;23;4;8;10;32;18;57;31;0;1
545015;Sedlec;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
545023;Slavče;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
545066;Srubec;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
545074;Staré Hodějovice;0;0;0;-;155;0;0;3;4;47;19;2;107;11;1;0;0;0;3;53;0;17;6;79;63;65;31;0;1
545082;Strážkovice;0;0;0;-;86;0;0;1;1;24;6;0;45;4;3;0;1;2;4;9;0;6;3;23;8;30;13;0;1
536032;Strýčice;0;0;0;-;19;0;0;0;0;2;2;0;2;2;2;1;0;0;0;3;0;0;0;1;0;2;2;0;0
545091;Střížov;0;0;0;-;30;0;0;0;0;4;3;0;24;1;0;0;0;0;0;9;0;4;4;15;6;10;6;0;0
545104;Svatý Jan nad Malší;0;0;0;-;105;0;0;0;0;24;12;2;41;4;3;2;0;2;0;7;3;4;3;26;7;29;11;1;0
545121;Ševětín;0;0;0;-;236;0;1;2;1;66;43;5;80;5;7;0;0;0;0;43;1;4;14;62;34;66;41;1;2
545139;Štěpánovice;0;0;0;-;134;1;0;0;0;32;31;1;43;2;0;0;1;0;1;45;1;3;4;73;4;36;21;1;1
545155;Temelín;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
545171;Trhové Sviny;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
545201;Týn nad Vltavou;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535494;Úsilné;0;0;0;-;70;0;0;0;0;11;11;2;49;2;2;0;0;0;3;23;0;7;1;29;11;23;12;0;0
545228;Včelná;0;0;0;-;286;0;1;0;2;64;53;1;195;18;8;0;1;7;0;55;2;24;23;114;76;101;45;0;1
535737;Vidov;0;0;0;-;97;0;0;0;0;15;12;1;42;7;1;0;1;0;0;26;2;13;3;35;21;42;11;0;0
535893;Vitín;0;0;0;-;68;0;0;0;0;15;13;0;21;14;1;0;0;0;0;9;1;7;4;20;10;15;26;1;0
535915;Vlkov;0;0;0;-;5;0;2;0;0;1;2;0;1;0;1;0;0;0;0;2;0;0;2;3;0;5;0;0;0
545261;Vrábče;0;0;0;-;95;0;0;0;2;21;35;0;59;3;1;0;0;1;0;19;0;6;10;36;34;44;16;0;1
535796;Vráto;0;0;0;-;63;0;1;0;0;15;6;5;44;2;2;2;1;0;2;13;0;8;3;14;6;22;9;0;0
545287;Všemyslice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
545317;Záboří;0;0;0;-;36;0;0;0;1;16;6;0;17;0;1;0;0;0;3;15;2;3;1;21;6;11;21;0;0
536016;Zahájí;0;0;0;-;94;0;0;0;2;30;12;1;22;2;1;0;0;0;0;20;0;3;3;19;11;12;18;0;2
599778;Závraty;0;0;0;-;4;0;0;0;0;0;5;0;4;0;0;0;0;0;0;3;0;2;0;6;0;0;1;0;0
545341;Zliv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535591;Zvíkov;0;0;0;-;31;0;0;1;0;20;11;0;19;3;5;0;0;0;0;12;0;3;1;30;6;15;11;0;0
545368;Žabovřesky;0;0;0;-;70;0;1;0;0;16;9;1;20;1;1;0;0;1;0;16;0;0;0;22;2;33;13;0;0
545376;Žár;0;0;0;-;50;1;0;0;0;27;3;0;9;4;3;0;0;0;0;2;1;1;1;11;4;17;4;0;1
545384;Žimutice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
